hori,total=700.0
x,y,raw
0.142857142857,IGHD3/OR15-3a,1
0.285714285714,IGHD2/OR15-2a,2
0.428571428571,IGHD4/OR15-4a,3
0.428571428571,IGHD5-24,3
0.571428571429,IGHD1-7,4
0.571428571429,IGHD1-20,4
0.714285714286,IGHD7-27,5
0.714285714286,IGHD1-14,5
0.714285714286,IGHD4-23,5
1.28571428571,IGHD1/OR15-1a,9
1.71428571429,IGHD6-6,12
1.85714285714,IGHD2-21,13
1.85714285714,IGHD6-19,13
2.28571428571,IGHD3-22,16
2.57142857143,IGHD4-17,18
2.71428571429,IGHD6-25,19
2.85714285714,IGHD2-15,20
3.42857142857,IGHD3-10,24
3.57142857143,IGHD3-3,25
3.71428571429,IGHD3-9,26
4.57142857143,IGHD3-16,32
5.0,IGHD5-12,35
5.42857142857,IGHD2-8,38
5.57142857143,IGHD2-2,39
5.57142857143,IGHD6-13,39
5.71428571429,IGHD4-11,40
7.14285714286,N/A,50
7.14285714286,IGHD1-26,50
8.42857142857,IGHD5-18,59
13.0,IGHD1-1,91
