x,y
IGHD1-1*01,11.7142857143
N/A,8.42857142857
IGHD5-18*01,7.85714285714
IGHD1-26*01,7.28571428571
IGHD5-12*01,6.71428571429
IGHD6-13*01,5.28571428571
IGHD2-8*01,5.28571428571
IGHD3-16*01,5.0
IGHD4-11*01,4.0
IGHD3-10*01,3.85714285714
IGHD2-2*01,3.71428571429
IGHD2-15*01,3.28571428571
IGHD6-19*01,3.14285714286
IGHD2-21*02,2.57142857143
IGHD3-9*01,2.42857142857
IGHD6-25*01,2.42857142857
IGHD3-22*01,2.14285714286
IGHD3-3*01,1.85714285714
IGHD4-17*01,1.42857142857
IGHD1-20*01,1.42857142857
IGHD7-27*01,1.28571428571
IGHD2-21*01,1.28571428571
IGHD1/OR15-1a*01,1.28571428571
IGHD6-6*01,1.14285714286
IGHD3-16*02,1.0
IGHD1-14*01,0.857142857143
IGHD1-7*01,0.714285714286
IGHD5-24*01,0.571428571429
IGHD2-8*02,0.571428571429
IGHD2/OR15-2a*01,0.428571428571
IGHD4-23*01,0.428571428571
IGHD2-2*02,0.285714285714
IGHD4/OR15-4a*01,0.285714285714
