hori,total=700.0
x,y,raw
0.285714285714,IGHV1-46,2
0.714285714286,IGHV4-28,5
0.857142857143,IGHV1-2,6
1.0,IGHV1-24,7
1.0,IGHV4-39,7
1.14285714286,IGHV2-5,8
1.42857142857,IGHV4-59,10
1.57142857143,IGHV1-69,11
1.57142857143,IGHV1-45,11
1.71428571429,IGHV3-64,12
1.71428571429,IGHV3-30,12
1.85714285714,IGHV1-3,13
2.0,IGHV4-31,14
2.0,IGHV4-4,14
2.0,IGHV3-49,14
2.14285714286,IGHV3-66,15
2.14285714286,IGHV1-18,15
2.28571428571,IGHV3-33,16
2.42857142857,IGHV3-53,17
2.57142857143,IGHV3-20,18
2.57142857143,IGHV3-72,18
2.57142857143,IGHV3-15,18
2.71428571429,IGHV4-34,19
2.71428571429,IGHV3-23,19
2.71428571429,IGHV6-1,19
2.85714285714,IGHV1-58,20
2.85714285714,IGHV2-26,20
3.0,IGHV5-51,21
3.14285714286,IGHV1-8,22
3.42857142857,IGHV3-74,24
3.42857142857,IGHV3-73,24
3.57142857143,IGHV3-48,25
3.71428571429,IGHV3-21,26
3.71428571429,IGHV3-7,26
5.14285714286,IGHV2-70,36
5.28571428571,IGHV3-43,37
6.42857142857,IGHV3-9,45
7.71428571429,IGHV3-13,54
